Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Credit
31,female,3,rent,NA,rich,9566,36,furniture/equipment,0
40,male,2,rent,NA,NA,701,12,furniture/equipment,0
27,female,3,rent,NA,little,2930,12,furniture/equipment,0
32,male,4,own,NA,rich,1505,18,furniture/equipment,0
25,female,3,rent,NA,rich,2238,18,furniture/equipment,0
42,male,2,rent,NA,rich,1503,4,furniture/equipment,0
43,male,3,rent,rich,rich,2197,24,car (new),0
44,female,2,free,NA,moderate,1881,12,furniture/equipment,0
32,male,4,rent,NA,NA,1880,18,furniture/equipment,0
27,female,3,rent,NA,NA,2389,18,furniture/equipment,0
20,female,3,rent,NA,little,1967,24,furniture/equipment,0
37,female,3,rent,NA,rich,3380,4,others,0
42,male,2,rent,NA,rich,1455,4,others,0
46,male,2,free,rich,rich,730,7,furniture/equipment,0
33,female,3,rent,NA,little,3244,18,car (used),0
22,female,3,rent,NA,little,1670,9,furniture/equipment,1
41,male,3,rent,rich,little,3979,48,furniture/equipment,0
37,male,2,rent,NA,little,1922,12,car (used),1
27,female,3,rent,NA,little,1295,18,car (used),0
42,male,2,rent,NA,rich,1544,4,furniture/equipment,0
26,male,3,rent,NA,little,907,8,retraining,0
26,female,3,rent,rich,little,1715,30,furniture/equipment,0
27,male,3,rent,rich,moderate,1347,10,furniture/equipment,0
22,male,3,rent,quite rich,little,1007,12,others,0
37,female,3,free,moderate,rich,1402,12,car (used),0
30,male,3,free,NA,little,2002,12,others,0
49,male,2,rent,NA,rich,2096,12,repairs,0
27,male,3,rent,NA,rich,1101,12,others,0
40,female,3,rent,rich,rich,894,10,vacation,0
20,female,3,rent,quite rich,little,1577,11,car (used),0
26,female,3,rent,NA,rich,2764,33,retraining,0
30,female,3,rent,moderate,little,8358,48,others,0
33,female,4,rent,NA,moderate,1474,12,car (used),0
26,female,4,free,rich,rich,5433,24,car (new),0
35,male,3,rent,moderate,little,1410,14,retraining,0
44,male,3,rent,rich,rich,3485,20,others,0
27,male,3,rent,NA,rich,3850,18,car (new),0
24,female,4,rent,little,little,7408,60,others,1
47,female,3,own,little,moderate,1377,24,furniture/equipment,0
26,male,2,rent,little,rich,4272,30,retraining,0
23,female,3,free,little,little,1553,24,furniture/equipment,0
31,male,2,rent,little,little,9857,36,retraining,0
52,female,2,rent,little,rich,362,6,others,0
43,male,3,rent,NA,rich,1935,12,car (used),0
37,male,3,rent,rich,rich,10222,48,furniture/equipment,0
26,male,3,rent,NA,moderate,1330,12,others,0
35,male,2,own,rich,rich,9055,36,repairs,0
30,male,3,rent,NA,little,7966,26,car (new),0
34,male,3,rent,quite rich,little,3496,30,car (used),0
35,male,4,free,NA,little,6948,36,car (new),0
48,male,4,rent,rich,little,12204,48,retraining,0
42,male,3,rent,NA,NA,3446,36,car (used),1
40,male,2,free,NA,NA,684,12,repairs,1
23,female,3,rent,moderate,NA,4281,33,car (used),1
30,female,4,rent,rich,NA,7174,42,furniture/equipment,1
24,male,2,free,NA,NA,1546,24,furniture/equipment,1
33,male,3,rent,little,NA,2359,24,car (used),1
31,male,3,rent,little,rich,3621,24,furniture/equipment,1
22,female,3,rent,little,NA,741,12,radio/television,1
53,male,4,own,NA,NA,7865,12,car (used),1
34,male,4,own,NA,NA,2910,24,car (new),0
36,male,4,own,NA,NA,5302,18,others,0
37,male,3,rent,NA,NA,3620,36,car (used),0
25,female,3,rent,NA,NA,3509,18,furniture/equipment,0
34,female,4,free,NA,little,3017,12,car (used),0
27,male,3,rent,NA,NA,1657,12,car (used),0
51,male,4,own,NA,NA,1164,8,business,0
23,female,2,free,NA,NA,6229,36,car (used),1
29,female,1,free,NA,NA,1193,24,others,1
32,male,3,rent,NA,NA,4583,30,car (used),0
28,male,3,rent,NA,NA,5371,36,car (used),0
38,male,2,rent,NA,NA,708,12,car (used),0
65,male,3,rent,NA,NA,571,21,others,0
39,male,3,rent,NA,NA,2522,30,furniture/equipment,0
29,male,3,rent,NA,NA,5179,36,car (used),1
26,male,3,rent,NA,NA,8229,36,car (new),1
30,male,2,rent,NA,rich,2028,24,car (used),0
75,female,4,rent,rich,NA,1374,6,others,0
21,male,2,rent,NA,NA,1289,12,car (used),0
41,male,3,rent,NA,NA,2712,36,car (used),1
25,male,3,rent,NA,NA,975,15,car (used),0
35,male,4,rent,NA,little,1050,6,car (used),0
37,female,3,rent,NA,NA,609,6,others,0
26,male,3,rent,NA,NA,4788,48,car (new),0
30,male,3,own,little,little,3069,24,car (used),0
23,female,2,rent,little,little,836,12,others,1
42,male,3,rent,NA,NA,2577,12,car (used),0
30,female,3,rent,NA,NA,1620,12,car (used),0
46,female,3,free,NA,NA,1845,15,car (used),0
29,male,4,own,NA,NA,6579,24,car (new),0
29,female,3,rent,NA,NA,1893,12,others,0
38,male,4,own,NA,NA,10623,30,car (new),0
30,male,4,rent,little,NA,2249,18,others,0
31,male,2,rent,NA,NA,3108,30,car (used),1
47,male,2,rent,NA,little,958,12,others,0
48,male,3,own,rich,rich,9277,24,car (new),0
27,male,4,rent,NA,rich,6314,24,business,0
66,male,4,own,NA,NA,1526,12,car (new),0
29,male,2,rent,NA,NA,3590,12,car (used),0
75,male,4,own,NA,NA,6615,24,car (new),0
36,male,4,own,NA,NA,1872,6,car (used),0
38,male,4,rent,rich,rich,2859,12,others,0
46,male,3,rent,quite rich,rich,1582,18,furniture/equipment,0
36,male,4,rent,rich,rich,1238,6,vacation,0
55,female,4,own,NA,NA,2578,12,car (used),0
25,female,3,free,NA,NA,1433,15,car (used),0
45,male,3,own,NA,NA,7882,42,car (used),0
28,male,3,rent,NA,NA,4169,24,car (used),0
30,male,4,rent,NA,NA,3959,36,car (used),0
39,male,4,own,NA,NA,3249,36,others,0
22,male,3,own,NA,NA,3149,24,car (used),0
60,male,3,rent,NA,NA,2246,12,car (used),1
28,male,2,rent,NA,NA,1797,13,retraining,0
24,female,3,rent,NA,NA,4272,20,car (used),0
63,male,3,rent,NA,NA,2957,24,car (new),0
46,male,3,rent,NA,NA,2348,36,car (used),0
33,male,3,rent,NA,moderate,6289,42,retraining,0
44,female,4,own,NA,NA,6419,24,car (new),0
58,female,2,own,NA,NA,6143,48,car (new),1
54,male,3,own,NA,rich,1597,24,repairs,0
43,male,4,rent,NA,NA,15857,36,business,0
52,male,3,rent,little,rich,2223,24,furniture/equipment,0
32,male,3,rent,rich,rich,7238,48,furniture/equipment,0
41,male,3,rent,little,little,2503,30,retraining,0
34,male,3,rent,little,little,2622,18,retraining,0
48,female,2,rent,rich,little,4351,24,car (used),0
38,male,3,rent,rich,little,368,6,furniture/equipment,0
38,male,3,rent,rich,little,754,12,vacation,0
53,male,3,rent,rich,rich,2424,24,furniture/equipment,0
38,male,3,own,rich,little,6681,48,retraining,0
42,male,3,rent,rich,little,2427,18,retraining,0
38,male,3,rent,little,little,1216,24,furniture/equipment,1
64,female,3,rent,NA,little,753,6,furniture/equipment,0
35,male,3,rent,NA,little,2576,7,furniture/equipment,0
26,male,2,rent,NA,little,590,6,furniture/equipment,0
33,male,3,rent,NA,little,1414,8,furniture/equipment,0
29,male,3,rent,NA,little,1103,12,furniture/equipment,0
20,male,3,free,NA,little,585,12,furniture/equipment,0
28,male,3,rent,NA,little,1068,6,furniture/equipment,0
47,male,2,rent,NA,NA,713,8,others,0
49,female,3,rent,NA,little,1092,12,furniture/equipment,0
45,female,3,rent,NA,little,2329,7,furniture/equipment,0
23,male,3,rent,NA,little,882,13,furniture/equipment,0
25,male,2,rent,NA,little,866,18,furniture/equipment,0
34,male,3,rent,NA,little,2415,7,furniture/equipment,0
23,female,2,rent,NA,little,2101,13,furniture/equipment,0
32,male,2,rent,NA,little,1301,18,furniture/equipment,0
26,female,2,rent,NA,little,1113,18,furniture/equipment,0
44,female,2,rent,NA,little,760,8,furniture/equipment,0
26,male,2,rent,NA,little,625,12,furniture/equipment,0
28,male,3,rent,little,moderate,1323,6,others,0
25,male,2,rent,NA,NA,1138,9,furniture/equipment,0
48,female,2,free,NA,little,1795,18,furniture/equipment,0
35,male,3,rent,rich,little,2728,15,furniture/equipment,0
28,male,2,rent,NA,little,484,6,furniture/equipment,0
23,male,2,rent,NA,little,1048,10,furniture/equipment,0
40,male,2,rent,NA,little,1155,12,furniture/equipment,0
36,male,4,free,rich,little,7057,20,car (new),0
50,male,3,rent,rich,little,1537,15,furniture/equipment,0
24,male,2,rent,NA,NA,2214,12,furniture/equipment,0
40,male,3,rent,NA,rich,1585,24,car (used),0
31,male,2,rent,NA,little,1521,10,car (used),0
29,female,1,rent,rich,little,3990,36,radio/television,0
45,female,2,rent,NA,moderate,3049,18,car (used),0
32,female,2,rent,little,NA,1282,24,furniture/equipment,1
21,female,3,rent,little,rich,10144,60,furniture/equipment,0
27,male,2,rent,NA,NA,1168,12,others,0
22,male,2,rent,NA,little,454,6,domestic appliances,0
46,female,2,rent,NA,rich,3594,15,car (new),0
24,male,2,free,NA,rich,1768,12,car (used),0
21,male,3,rent,NA,rich,15653,60,furniture/equipment,0
36,female,3,rent,NA,moderate,2247,12,others,0
28,male,3,rent,NA,rich,1413,24,furniture/equipment,0
27,male,3,rent,little,little,4576,45,car (new),0
57,female,4,free,quite rich,NA,1231,24,furniture/equipment,0
47,male,3,own,rich,NA,8335,36,car (new),1
34,male,3,rent,NA,little,5800,36,car (new),0
23,female,3,free,rich,NA,8471,18,repairs,0
57,female,3,free,quite rich,NA,3622,30,car (used),0
67,male,3,rent,rich,NA,1169,6,furniture/equipment,0
36,male,3,rent,moderate,rich,1262,15,radio/television,0
20,male,3,free,rich,moderate,3617,24,car (used),0
36,male,3,rent,rich,little,2181,30,others,0
37,female,3,free,NA,NA,7685,48,retraining,1
31,male,3,own,NA,rich,6110,48,repairs,0
62,female,3,own,NA,rich,3757,24,others,0
65,male,1,rent,NA,NA,3394,42,domestic appliances,0
36,male,3,rent,rich,rich,6304,36,retraining,0
41,female,2,free,rich,rich,1244,9,repairs,0
26,male,3,free,NA,rich,3518,6,others,0
27,male,3,rent,NA,rich,2613,36,domestic appliances,0
50,male,4,own,NA,NA,7476,48,repairs,0
54,male,4,rent,quite rich,rich,4591,24,retraining,1
27,female,3,free,rich,little,1924,18,car (used),1
24,male,3,rent,little,little,5595,72,furniture/equipment,1
50,male,3,own,NA,little,6224,48,repairs,1
40,male,4,free,NA,moderate,1905,15,repairs,0
28,male,2,rent,NA,rich,2993,21,car (new),0
31,male,4,rent,rich,rich,8947,36,car (new),0
27,male,3,rent,NA,NA,4020,24,car (used),0
21,male,3,free,NA,little,2779,18,car (new),0
31,female,4,rent,moderate,rich,2782,21,others,0
39,male,4,rent,NA,rich,1884,12,others,0
30,male,4,rent,rich,rich,11054,36,car (new),0
27,male,4,own,rich,little,9157,60,furniture/equipment,0
55,male,4,own,NA,little,9283,42,car (new),0
34,male,3,own,rich,rich,6527,60,others,0
23,male,3,free,quite rich,rich,3368,15,car (new),0
23,female,3,free,NA,NA,2511,15,others,0
42,male,3,own,NA,NA,5493,36,car (new),0
62,male,3,rent,moderate,rich,1338,6,radio/television,0
37,male,2,rent,NA,little,1082,9,furniture/equipment,0
46,male,3,rent,quite rich,rich,1149,18,furniture/equipment,0
38,male,2,rent,NA,little,1308,15,domestic appliances,0
31,male,3,rent,little,little,6148,20,car (new),0
31,female,2,rent,NA,rich,1736,12,car (used),0
61,male,2,rent,quite rich,rich,3059,12,furniture/equipment,0
20,male,3,rent,rich,NA,2996,24,car (used),1
63,male,3,rent,rich,rich,7596,30,car (new),0
24,female,2,free,rich,rich,4811,30,car (new),0
21,male,3,free,NA,rich,1766,6,car (used),0
36,male,3,own,rich,little,2760,24,car (new),0
44,male,3,own,NA,rich,5507,24,domestic appliances,0
67,female,4,rent,NA,little,1199,9,repairs,0
51,male,3,own,NA,moderate,2892,24,car (used),0
30,male,3,own,little,little,2862,36,others,0
28,male,2,rent,NA,NA,654,9,others,1
32,male,3,own,quite rich,little,1136,9,repairs,1
28,female,3,free,moderate,little,4113,24,car (new),1
23,male,1,rent,rich,little,14555,6,others,1
33,male,3,free,NA,NA,950,15,others,1
60,male,2,rent,NA,NA,1199,24,others,1
48,male,3,rent,NA,NA,1082,12,others,1
24,female,3,rent,NA,little,2150,30,others,1
27,male,3,rent,NA,little,2820,36,others,1
28,male,3,rent,NA,little,3060,48,furniture/equipment,1
65,male,3,own,NA,NA,2600,18,furniture/equipment,1
29,female,3,rent,rich,rich,5003,21,others,1
42,male,3,own,NA,little,6288,60,repairs,1
47,male,2,rent,NA,rich,2538,24,others,1
22,male,3,rent,NA,rich,1478,9,furniture/equipment,1
25,male,3,rent,NA,little,4933,39,furniture/equipment,1
32,male,3,rent,NA,rich,1530,18,others,1
29,male,3,rent,little,little,1437,9,others,1
24,female,3,free,rich,NA,1275,15,radio/television,1
30,male,4,rent,NA,NA,1823,24,furniture/equipment,1
27,male,4,own,NA,NA,1422,9,others,1
47,male,2,rent,NA,NA,1217,18,radio/television,1
24,male,3,rent,NA,NA,9271,36,others,1
24,male,3,rent,NA,NA,2145,36,retraining,1
34,female,3,rent,NA,NA,1842,36,others,1
40,male,4,rent,NA,little,4297,18,car (used),1
44,male,4,free,NA,NA,3384,6,car (used),1
33,male,3,rent,NA,little,1245,18,furniture/equipment,1
40,male,4,rent,little,rich,4623,15,repairs,1
49,male,3,rent,NA,little,8386,30,car (used),1
48,male,3,rent,NA,NA,1024,24,furniture/equipment,1
57,male,4,own,NA,little,14318,36,others,1
24,female,3,free,quite rich,little,433,6,repairs,1
29,male,3,own,NA,NA,2149,12,furniture/equipment,1
35,male,3,rent,moderate,rich,2397,24,furniture/equipment,1
32,female,2,rent,little,little,931,6,others,1
61,male,3,rent,quite rich,little,1512,15,domestic appliances,1
36,male,2,rent,NA,little,4241,24,retraining,1
25,female,2,rent,NA,little,4736,24,car (used),1
26,female,1,free,NA,little,1778,15,others,1
25,female,2,rent,NA,moderate,2327,15,furniture/equipment,1
55,male,3,rent,NA,NA,6872,24,car (used),1
53,female,3,rent,NA,NA,795,12,repairs,1
66,male,4,rent,NA,moderate,1908,30,retraining,1
61,male,4,own,NA,little,1953,36,retraining,1
34,male,2,rent,NA,moderate,2864,18,car (used),1
33,male,3,free,NA,moderate,2319,21,repairs,1
29,female,3,rent,rich,NA,915,24,others,1
38,male,3,own,NA,moderate,947,24,others,1
35,female,3,rent,rich,NA,1381,24,others,1
32,female,3,free,rich,NA,1285,24,others,1
25,female,3,free,rich,NA,1371,24,others,1
33,female,3,rent,rich,little,1042,18,others,1
23,male,3,rent,rich,NA,900,12,others,1
24,female,3,free,NA,NA,1207,24,others,1
28,female,3,rent,little,little,2278,18,others,1
63,male,3,rent,NA,NA,6836,60,retraining,1
39,male,4,free,NA,NA,3345,24,car (used),1
35,female,3,own,NA,NA,1198,6,repairs,1
23,male,3,rent,NA,little,15672,48,retraining,1
36,male,3,free,NA,NA,7297,60,retraining,1
23,female,3,rent,NA,rich,1943,18,domestic appliances,1
24,female,3,rent,NA,NA,3190,18,furniture/equipment,1
74,female,4,own,NA,little,5129,9,car (new),1
22,female,3,rent,NA,rich,1808,18,car (used),1
48,female,2,own,little,moderate,1240,10,others,1
26,male,3,rent,NA,NA,759,12,others,1
24,female,3,rent,NA,little,1237,8,car (used),1
19,female,3,free,NA,rich,1980,9,car (used),1
27,male,3,rent,quite rich,little,10961,48,furniture/equipment,1
29,male,3,rent,NA,NA,6887,36,repairs,1
32,male,3,rent,NA,NA,1938,24,furniture/equipment,1
25,female,3,rent,NA,NA,1835,21,furniture/equipment,1
29,female,2,free,NA,NA,1659,24,furniture/equipment,1
47,male,4,rent,NA,little,1209,6,others,1
34,male,2,own,little,little,3844,48,retraining,1
43,male,3,free,NA,NA,4843,12,others,1
30,male,3,rent,NA,little,639,12,domestic appliances,1
22,female,3,rent,NA,little,5951,48,furniture/equipment,1
42,female,3,rent,NA,little,3804,36,furniture/equipment,1
26,male,4,rent,NA,rich,4463,36,furniture/equipment,1
27,male,3,free,rich,rich,7980,36,retraining,1
26,male,3,rent,NA,moderate,4210,36,furniture/equipment,1
32,female,3,rent,NA,rich,4611,6,car (used),1
23,female,4,free,NA,little,11560,24,car (new),1
36,male,3,rent,NA,rich,4165,18,retraining,1
43,male,3,rent,NA,little,4057,24,car (used),1
39,male,4,rent,NA,rich,6458,18,others,1
26,female,3,rent,moderate,rich,1386,12,others,1
40,male,4,rent,rich,NA,1977,36,repairs,1
31,male,2,rent,NA,little,1928,18,car (used),1
29,female,2,free,moderate,rich,1123,12,car (used),1
29,male,4,rent,NA,little,11328,24,business,1
39,male,4,rent,NA,little,11938,24,business,1
23,male,2,rent,moderate,little,2520,27,furniture/equipment,1
30,male,4,rent,little,little,1919,30,furniture/equipment,1
60,female,4,own,little,little,14782,60,business,1
50,female,3,own,little,little,2671,36,furniture/equipment,1
47,male,3,own,little,little,12612,36,repairs,1
21,male,3,free,little,little,3031,45,furniture/equipment,1
24,female,2,rent,NA,NA,626,12,furniture/equipment,1
31,male,3,rent,NA,little,1935,24,retraining,1
37,male,2,rent,rich,moderate,1344,24,others,1
43,male,2,rent,NA,rich,1533,18,car (used),1
46,male,3,own,NA,NA,3931,48,others,1
30,male,3,own,moderate,NA,3349,24,car (used),1
31,male,3,free,NA,NA,2302,36,furniture/equipment,1
34,male,3,rent,NA,NA,3965,42,furniture/equipment,1
33,male,2,rent,little,NA,727,12,furniture/equipment,1
38,male,3,rent,rich,rich,3914,48,retraining,1
24,female,3,free,NA,NA,4308,48,retraining,1
23,male,3,free,NA,little,1534,12,furniture/equipment,1
31,male,3,rent,NA,rich,2775,18,others,1
27,male,3,rent,NA,NA,5998,40,repairs,1
39,male,3,own,rich,moderate,1271,15,furniture/equipment,1
25,female,3,free,NA,little,1295,12,others,1
28,male,4,free,NA,little,9398,36,car (new),1
27,female,3,free,little,little,951,12,car (used),1
25,female,2,rent,NA,little,1355,24,others,1
54,male,3,rent,NA,NA,3051,48,radio/television,1
25,female,3,rent,NA,rich,7855,36,others,1
22,female,3,free,NA,rich,433,18,furniture/equipment,1
28,male,3,rent,NA,rich,9572,36,retraining,1
34,female,2,own,NA,little,1837,24,repairs,1
28,male,4,rent,NA,little,4249,30,others,1
28,male,4,rent,NA,little,5234,30,others,1
31,female,3,rent,NA,NA,6758,48,furniture/equipment,1
22,female,3,free,NA,NA,1366,9,furniture/equipment,1
40,male,4,rent,rich,NA,1358,24,business,1
25,male,1,rent,NA,NA,2473,18,car (used),1
34,male,4,rent,NA,moderate,1337,9,furniture/equipment,1
42,male,4,own,NA,NA,7763,48,others,1
25,male,3,free,little,little,1264,15,others,1
28,female,3,free,little,little,2631,15,others,1
24,male,3,rent,little,little,6560,48,others,1
27,female,3,rent,NA,NA,3123,24,others,1
25,female,4,rent,NA,NA,8065,36,repairs,1
35,female,3,rent,NA,NA,2439,24,furniture/equipment,1
29,male,4,free,little,little,9034,36,car (used),1
27,male,4,rent,NA,little,14027,60,others,1
24,male,3,rent,NA,NA,9629,36,car (new),1
25,male,3,rent,rich,little,1484,12,furniture/equipment,1
33,female,3,rent,NA,NA,1131,18,car (used),1
34,female,4,rent,NA,little,2064,24,car (used),1
38,female,4,own,NA,little,12976,18,car (new),1
41,male,2,rent,moderate,rich,2580,21,retraining,1
21,female,3,free,NA,rich,2570,27,others,1
36,male,3,rent,NA,little,3915,27,retraining,1
27,male,2,rent,rich,rich,1309,10,others,1
31,male,3,rent,NA,NA,4817,24,others,1
33,male,2,rent,NA,NA,2579,12,others,1
57,male,3,own,NA,little,2225,36,others,1
42,male,3,rent,NA,NA,4153,18,car (used),1
26,female,3,free,NA,NA,3114,18,car (used),1
24,female,3,free,NA,NA,2124,18,car (used),1
44,male,3,rent,NA,NA,1553,18,car (used),1
23,female,3,free,NA,NA,2406,30,car (used),1
43,male,3,own,NA,NA,1333,24,others,1
53,male,3,own,NA,NA,7119,48,car (used),1
53,male,3,own,NA,NA,4870,24,others,1
35,male,3,rent,NA,NA,691,12,others,1
26,male,3,rent,NA,NA,4370,42,furniture/equipment,1
31,male,3,rent,NA,NA,2746,36,car (used),1
23,male,3,free,NA,NA,4110,24,car (used),1
22,male,3,rent,NA,NA,2462,18,car (used),1
20,female,3,free,NA,NA,1282,12,car (used),1
25,female,3,free,NA,little,2969,12,car (used),1
24,male,3,own,NA,NA,4605,48,car (new),1
46,male,3,own,NA,NA,6331,48,car (new),1
27,male,3,rent,NA,NA,3552,24,car (used),1
46,male,3,rent,NA,NA,697,12,others,1
23,female,3,free,NA,NA,1442,24,others,1
50,male,3,rent,NA,NA,5293,27,retraining,1
26,male,3,rent,NA,NA,3414,21,repairs,1
20,female,3,free,NA,NA,2039,18,car (used),1
31,male,3,free,NA,NA,3161,24,retraining,1
21,male,3,free,NA,NA,902,12,vacation,1
39,male,3,own,NA,NA,10297,48,car (new),1
25,male,3,rent,NA,little,14421,48,retraining,1
30,male,3,rent,NA,little,1056,18,others,1
37,female,2,rent,NA,NA,1274,12,others,1
46,male,3,free,NA,little,1223,12,others,1
36,male,3,rent,NA,NA,1372,12,others,1
43,male,3,free,NA,NA,2625,16,others,1
33,male,3,free,NA,NA,2235,20,others,1
29,female,3,rent,NA,little,959,9,car (used),1
36,male,3,rent,NA,little,884,18,others,1
23,male,2,rent,NA,little,1246,24,others,1
42,male,4,rent,little,little,8086,36,others,1
44,male,3,own,moderate,rich,10127,48,others,1
41,male,2,rent,NA,little,888,12,others,1
41,male,2,rent,NA,rich,719,12,repairs,1
37,male,3,own,rich,little,12389,36,others,1
57,male,2,rent,NA,NA,709,12,furniture/equipment,1
34,male,4,rent,little,little,6850,15,others,1
25,male,2,free,NA,rich,2210,10,car (used),1
53,female,4,rent,rich,rich,7485,30,car (new),1
32,male,2,own,NA,NA,1442,18,others,1
33,female,2,rent,rich,rich,797,12,furniture/equipment,1
24,male,2,rent,NA,little,4746,45,furniture/equipment,1
28,male,3,rent,moderate,moderate,939,12,others,1
39,female,3,rent,NA,little,1188,21,retraining,1
24,female,2,free,little,rich,11590,48,car (new),1
26,female,1,rent,NA,moderate,609,12,retraining,1
55,female,1,own,NA,NA,1190,18,domestic appliances,1
61,male,2,free,little,little,2767,21,retraining,1
21,female,3,free,little,little,3441,30,car (used),1
26,female,2,free,little,little,4280,30,retraining,1
22,male,3,free,little,little,3092,24,furniture/equipment,1
68,male,3,free,rich,rich,6761,18,others,1
22,male,3,rent,NA,little,1331,12,furniture/equipment,1
58,male,3,free,NA,little,15945,54,retraining,1
23,female,2,free,NA,NA,3234,24,car (used),1
37,male,3,rent,NA,little,802,15,furniture/equipment,1
26,female,3,rent,NA,little,9960,48,car (used),1
27,male,3,rent,NA,rich,8648,24,retraining,1
26,male,3,rent,NA,NA,1345,18,furniture/equipment,1
23,male,3,own,NA,NA,1845,45,furniture/equipment,1
40,male,2,rent,rich,NA,1647,21,others,1
33,male,4,free,NA,rich,4844,48,retraining,1
42,female,4,own,NA,little,8318,27,retraining,1
37,male,3,rent,NA,moderate,2100,18,furniture/equipment,1
29,male,3,free,NA,NA,11816,45,retraining,1
23,female,3,rent,NA,NA,448,6,repairs,1
34,male,2,rent,NA,NA,11998,30,domestic appliances,1
32,female,4,rent,NA,little,18424,48,business,1
68,male,4,rent,NA,NA,14896,6,others,1
25,female,3,rent,rich,little,2762,12,car (used),1
35,male,3,own,NA,NA,3386,12,car (new),1
22,male,3,rent,NA,little,2039,24,furniture/equipment,1
28,male,3,rent,NA,rich,2169,18,retraining,1
30,female,4,rent,NA,little,5096,48,car (used),1
25,female,3,free,NA,NA,1882,18,furniture/equipment,1
34,male,3,rent,NA,NA,6999,48,furniture/equipment,1
42,male,4,rent,NA,rich,2292,12,retraining,1
45,male,4,rent,NA,NA,8978,14,others,1
20,male,3,rent,little,NA,674,12,furniture/equipment,1
23,female,2,rent,NA,NA,976,18,others,1
20,female,2,free,NA,little,2718,24,others,1
27,female,1,rent,NA,NA,750,18,repairs,1
44,female,4,own,NA,little,12579,24,car (new),1
51,male,3,own,rich,NA,7511,18,car (new),1
33,female,3,free,NA,NA,3966,18,others,1
28,male,3,free,NA,NA,6199,12,furniture/equipment,1
21,male,2,free,NA,NA,1987,24,furniture/equipment,1
45,male,3,rent,NA,NA,2303,24,others,1
30,male,4,own,rich,rich,12680,21,others,1
52,male,4,rent,rich,little,6468,12,furniture/equipment,1
31,male,3,rent,rich,NA,6350,30,car (used),1
